Requested Pickup Time,Origin Lat,Origin Lng,Destination Lat,Destination Lng,Number of Passengers
2023-02-27 19:00:00,42.376785,-71.11662,42.37237,-71.12428,1
2023-02-27 19:00:00,42.373795,-71.11527,42.369984,-71.11241,1
2023-02-27 19:05:00,42.372066,-71.11969,42.372402,-71.10998,1
2023-02-27 19:05:00,42.36841,-71.11239,42.369503,-71.11539,1
2023-02-27 19:10:00,42.371204,-71.122894,42.364773,-71.12355,1
2023-02-27 19:10:00,42.36919,-71.11685,42.374184,-71.1063,1
2023-02-27 19:15:00,42.369473,-71.11831,42.367172,-71.115486,1
2023-02-27 19:15:00,42.36985,-71.11529,42.37619,-71.12467,1
2023-02-27 19:20:00,42.371193,-71.1159,42.371952,-71.110725,1
2023-02-27 19:20:00,42.370678,-71.11343,42.377518,-71.126816,1
2023-02-27 19:25:00,42.37408,-71.1193,42.36944,-71.130226,1
2023-02-27 19:25:00,42.370106,-71.11125,42.363976,-71.12015,1
2023-02-27 19:30:00,42.375053,-71.12062,42.376347,-71.10898,1
2023-02-27 19:30:00,42.3738,-71.11908,42.37406,-71.12678,1
2023-02-27 19:35:00,42.37117,-71.11636,42.368233,-71.12453,1
2023-02-27 19:35:00,42.374763,-71.107155,42.37712,-71.116905,1
2023-02-27 19:40:00,42.378517,-71.11665,42.366447,-71.12279,1
2023-02-27 19:40:00,42.377182,-71.11922,42.37132,-71.11264,1
2023-02-27 19:45:00,42.378525,-71.12027,42.37756,-71.11099,1
2023-02-27 19:45:00,42.36395,-71.12584,42.36948,-71.11811,1
2023-02-27 19:50:00,42.37267,-71.121666,42.363327,-71.12075,1
2023-02-27 19:50:00,42.375473,-71.12347,42.369137,-71.11297,1
2023-02-27 19:55:00,42.377815,-71.11593,42.379883,-71.1147,1
2023-02-27 19:55:00,42.37078,-71.11266,42.38217,-71.11745,1
2023-02-27 20:00:00,42.381332,-71.12057,42.381084,-71.12997,1
2023-02-27 20:00:00,42.36792,-71.12671,42.3698,-71.121635,1
2023-02-27 20:05:00,42.375,-71.1207,42.381035,-71.113144,1
2023-02-27 20:05:00,42.372654,-71.11632,42.362255,-71.113,1
2023-02-27 20:10:00,42.37347,-71.10809,42.368828,-71.11163,1
2023-02-27 20:10:00,42.379932,-71.118126,42.374977,-71.121635,1
